flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
80,5.37431548,268.715774000,0,0,50,0,443,60550,40.74.32.146,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,3778800194,845137579,54,231.64,1010,30982926.640000008,54,999.36,1466,575617564.8,0.0,10.744525480000002,30.785844,258.1818610730977,1.6e-05,0.00410548,0.020247,0.09870899574324521,eth:ethertype:ip:tcp:tls,25,25
81,9.139816,45.699080000,0,0,5,0,443,50748,13.94.251.244,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,54130073,4003137740,54,62.0,66,15408.0,66,66.0,66,4356.0,0.0,9.981353666666667,29.733286,24.363630761376967,3.9e-05,7.8775094999999995,15.75498,11.140453195492563,eth:ethertype:ip:tcp,3,2
82,0.2621076666666667,0.786323000,0,0,3,0,443,47658,188.184.93.89,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,2908542142,1527796961,97,97.0,97,0.0,66,66.0,66,4356.0,0.0,0.0,0,0.0,0.040249,0.3931615,0.746074,0.5283211123346293,eth:ethertype:ip:tcp:tls,1,2
83,1.05e-05,0.000021000,0,0,2,0,443,40292,13.76.217.211,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,1680206680,3344133267,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,2.1e-05,2.1e-05,2.1e-05,0.0,eth:ethertype:ip:tcp,1,1
84,0.0096515,0.019303000,0,0,2,0,55198,443,192.168.18.19,104.18.89.237,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,3968692801,2847642016,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.019303,0.019303,0.019303,0.0,eth:ethertype:ip:tcp,1,1
85,0.0630185,0.126037000,0,0,2,0,55264,5228,192.168.18.19,173.194.76.188,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,762805312,3992050807,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.126037,0.126037,0.126037,0.0,eth:ethertype:ip:tcp,1,1
86,1.4e-05,0.000028000,0,0,2,0,443,47743,13.69.188.18,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,139632108,254997266,66,66.0,66,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,2.8e-05,2.8e-05,2.8e-05,0.0,eth:ethertype:ip:tcp,1,1
87,1.55e-05,0.000031000,0,0,2,0,443,57412,192.30.253.125,192.168.18.19,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,160728288,1772757333,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,3.1e-05,3.1e-05,3.1e-05,0.0,eth:ethertype:ip:tcp,1,1
88,4.444339515624999,284.437729000,0,0,64,0,443,34930,52.139.233.255,192.168.43.243,38:0b:40:bd:bd:4d,0c:8b:fd:18:40:2f,3275080522,1890663600,54,367.3333333333333,1252,113632809.99999997,54,977.1176470588235,1454,1040089131.8823532,0.0,9.332555866666667,39.021484,271.09187026679996,6e-06,0.13120744117647057,2.449686,4.36021891806711,eth:ethertype:ip:tcp:tls,30,34
89,0.018551,0.037102000,0,0,2,0,59784,443,192.168.18.19,216.58.207.10,0c:8b:fd:18:40:2f,48:57:02:1c:e3:28,4133409072,1588151419,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.037102,0.037102,0.037102,0.0,eth:ethertype:ip:tcp,1,1
